lfd_nr;stadtteil;standort;baumart_botanisch;baumart_deutsch;id;baumfamilie
23087;Furth-Mitte;Broichstr. 37 ggb. - Am Jostensbusch Park;Quercus petraea;Eiche, Trauben;51.2093, 6.66287;Eiche
23089;Furth-Mitte;Broichstr. 87 ggb. - Am Jostensbusch Park;Gymnocladus dioicus;Geweihbaum;51.2098, 6.66281;Geweihbaum
23090;Furth-Mitte;Broichstr. 91 ggb. - Am Jostensbusch Park;Gymnocladus dioicus;Geweihbaum;51.2101, 6.66287;Geweihbaum
23173;Furth-Nord;Flurstr. 10 nebenan;Koelreuteria paniculata;Blasenbaum;51.22, 6.65103;Blasenbaum
23094;Furth-Mitte;Venloer Str. 103 a;Acer platanoides 'Schwedleri';Ahorn, Roter Spitz;51.2146, 6.66468;Ahorn
23095;Furth-Mitte;Schlesienstr. 16;Tilia tomentosa;Linde, Silber;51.2136, 6.66424;Linde
23096;Furth-Mitte;Schlesienstr. 8/10;Tilia tomentosa;Linde, Silber;51.213, 6.66482;Linde
23098;Furth-Mitte;Schlesienstr. 6;Tilia tomentosa;Linde, Silber;51.2126, 6.66509;Linde
23099;Furth-Mitte;Schlesienstr. 6;Tilia tomentosa;Linde, Silber;51.2125, 6.66519;Linde
23101;Furth-Mitte;Schlesienstr. 2;Tilia tomentosa;Linde, Silber;51.2123, 6.6654;Linde
23104;Furth-Mitte;Pommernst. 17;Acer rubrum;Ahorn, Rot;51.2126, 6.66311;Ahorn
